Source: http://ncsesdata.nsf.gov/herd/2014/html/HERD2014_DST_17.html
(Dollars in thousands)																	
Rank	Institution	2005		2006		2007		2008		2009		2010		2011		2012		2013		2014
U. Texas Health Science Center, Houston	152,631		175,154		191,724		197,252		217,623		240,772		261,172		236,250		233,256		233,737
Oregon State U.	217,998		227,693		231,895		233,358		257,564		216,595		228,814		240,507		232,677		230,963
U. New Mexico	182,871		186,047		181,734		202,694		205,831		211,771		220,565		220,360		227,703		228,849
George Washington U.	130,405		135,931		149,413		181,688		103,793		196,917		197,621		196,448		202,428		227,995
U. California, Santa Barbara	165,014		179,857		200,504		214,441		227,221		225,730		230,435		233,883		236,497		226,693
Temple U.	86,646		84,114		90,773		99,815		111,421		124,528		134,533		138,318		224,087		224,101
Woods Hole Oceanographic Institution	117,517		121,888		137,410		150,720		157,289		181,746		198,775		204,352		198,232		220,016
Wayne State U.	231,000		225,034		238,738		253,604		257,207		254,492		259,895		227,070		224,331		218,435
SUNY, Stony Brook U.	212,698		236,095		268,541		190,712		189,299		204,728		211,356		219,744		225,712		211,631
Mississippi State U.	184,612		196,119		211,271		219,017		225,426		231,675		226,070		233,197		206,424		209,729
U. South Carolina, Columbia	NA		NA		NA		NA		NA		229,145		201,592		214,901		203,365		206,173
Indiana U., Bloomington	NA		NA		NA		NA		NA		177,520		184,096		184,486		197,897		206,039
Virginia Commonwealth U.	161,801		167,748		151,197		171,637		162,283		197,709		207,756		201,366		196,015		201,858
U. Massachusetts, Amherst	134,097		140,184		146,323		156,817		160,666		169,141		181,297		194,775		190,739		200,199
Medical C. Wisconsin	143,540		147,140		158,171		165,529		176,237		191,816		215,358		209,040		201,237		199,713
Dartmouth C.	179,107		200,329		192,846		188,122		190,425		194,141		210,631		195,930		201,591		187,681
U. Central Florida	121,699		122,879		141,140		147,092		148,809		117,985		109,190		116,891		126,681		185,555
Kansas State U.	126,826		126,960		126,864		141,535		151,376		160,679		169,167		176,141		183,096		184,945
U. Louisville	139,942		148,246		163,434		164,123		167,178		189,090		197,438		196,842		186,772		183,376
U. Notre Dame	75,566		82,137		82,272		103,311		104,866		110,369		134,410		157,691		175,220		182,228
U. Tennessee, Knoxville	NA		NA		NA		NA		NA		150,671		167,456		179,252		193,054		179,041
U. Texas Medical Branch	174,254		179,915		183,492		180,026		184,845		188,399		193,555		180,888		180,198		178,014
Wake Forest U.	185,668		183,843		186,175		200,750		201,701		192,034		209,134		204,328		182,721		176,380
U. Delaware	112,591		116,982		120,431		126,971		126,788		153,311		169,746		170,174		179,967		175,563
Georgetown U.	127,288		122,135		140,710		144,957		151,064		159,355		169,916		180,308		178,995		172,726
U. Texas Health Science Center, San Antonio	142,375		150,040		160,282		201,323		221,535		207,115		198,655		184,298		175,983		172,716
Utah State U.	134,223		142,935		142,784		148,257		145,240		149,169		174,167		157,355		158,352		164,892
West Virginia U.	117,274		124,046		138,800		145,107		145,656		154,926		166,420		169,303		167,144		164,454
Clemson U.	180,262		184,940		216,959		200,789		193,924		174,693		166,350		142,096		152,444		161,070
Tufts U.	136,602		133,628		135,868		145,169		154,575		156,106		156,395		160,922		156,525		160,825
Texas Tech U.	57,998		59,929		59,439		60,165		92,058		133,360		149,399		138,026		142,676		159,308
Tulane U.	143,899		118,828		140,321		165,678		163,572		165,513		171,703		164,373		160,414		157,825
U. Alaska, Fairbanks	140,594		154,441		155,147		149,313		157,600		161,986		165,530		160,407		162,658		155,769
North Dakota State U.	103,248		104,505		107,337		116,327		114,260		126,419		134,064		135,493		150,173		154,437
U. California, Santa Cruz	105,617		134,458		147,396		162,100		170,461		143,919		155,617		155,516		150,777		151,734
U. New Hampshire	115,976		121,952		120,463		121,092		117,546		115,562		143,002		165,156		147,446		147,544
Auburn U., Auburn	NA		NA		NA		NA		NA		145,115		163,335		133,013		147,229		142,487
U. Houston	87,936		80,984		78,381		87,691		102,917		119,811		113,709		116,288		130,844		140,597
U. Nebraska, Medical Center	123,263		108,012		111,751		112,887		123,629		138,219		133,036		141,619		137,485		139,126
Rice U.	63,769		67,045		72,112		74,720		79,431		97,903		110,235		117,223		131,003		138,536
New Mexico State U.	126,450		168,502		152,104		141,523		154,363		157,872		139,062		141,151		142,365		134,262
U. California, Riverside	122,221		135,603		139,960		139,319		139,536		130,288		132,238		135,494		132,617		133,558
Florida International U.	87,720		84,697		108,015		107,025		101,322		110,271		110,006		118,058		128,070		132,531
U. Arkansas for Medical Sciences	91,516		107,871		108,551		117,440		106,314		119,518		122,066		129,056		133,677		131,438
Drexel U.	93,323		97,675		98,010		103,558		105,020		118,349		115,020		116,768		123,813		131,170
SUNY, U. Albany	264,581		277,841		309,438		271,187		341,624		359,364		148,625		137,758		137,759		130,955
Oklahoma State U., Stillwater	NA		NA		NA		NA		NA		147,094		162,786		166,523		134,500		126,543
U. Arkansas, Fayetteville	107,974		109,609		113,773		115,397		117,448		113,909		120,007		123,199		125,501		125,824
Georgia State U.	61,651		64,624		65,900		94,429		78,920		81,015		92,725		91,148		111,999		123,915
Thomas Jefferson U.	107,388		106,986		107,288		99,275		101,188		103,064		104,923		100,506		89,273		118,378
Northeastern U.	70,001		72,329		78,220		66,315		67,174		79,949		86,783		107,862		116,088		116,245
Montana State U., Bozeman	118,188		121,534		124,833		130,120		126,844		135,084		125,966		124,228		113,136		113,348
U. Mississippi and U. Mississippi, Jackson, Medical Center	101,350		105,029		117,522		99,413		100,102		110,020		122,765		121,731		108,168		109,922
U. Vermont	116,279		122,814		114,172		116,463		122,991		129,856		132,356		115,697		115,485		109,701
New Jersey Institute of Technology	76,920		77,583		88,699		89,792		92,891		92,318		100,491		102,851		107,310		106,081
Rensselaer Polytechnic Institute	65,921		71,382		77,679		77,967		78,188		83,952		84,834		92,720		92,495		105,608
U. Maine	75,815		93,867		100,072		96,755		101,344		111,282		111,600		92,135		77,583		101,247
U. Texas, Dallas	43,111		44,198		46,477		59,300		65,804		82,044		93,230		90,700		98,842		99,727
Naval Postgraduate School	54,233		62,714		66,972		89,940		82,451		103,510		101,363		132,450		94,880		99,032
George Mason U.	57,373		60,168		61,068		76,838		85,306		84,120		88,089		90,198		95,913		98,680
San Diego State U.	83,599		83,398		74,686		81,385		91,074		99,137		106,591		92,867		86,733		95,674
U. Idaho	93,127		88,284		83,690		82,489		89,242		87,207		96,229		97,227		95,891		95,594
U. Rhode Island	60,252		70,696		76,237		78,871		84,989		90,016		102,630		114,323		101,898		91,706
U. Oregon	61,058		66,602		71,362		78,934		86,371		94,107		103,019		105,030		94,522		91,203
U. Alabama, Huntsville	57,330		61,831		73,760		75,818		74,340		75,683		75,724		87,388		101,016		89,325
U. Texas, Arlington	29,155		29,408		33,324		48,475		55,005		71,414		72,483		78,556		86,735		89,175
U. Nevada, Reno	97,306		100,643		99,286		104,841		109,151		95,423		89,740		85,726		89,797		87,324
U. Dayton	70,178		72,070		76,166		83,293		95,043		93,309		90,557		81,030		84,252		86,881
Rush U.	83,693		83,194		84,370		89,513		96,975		73,398		79,212		80,300		81,770		80,551
U. Texas, El Paso	37,985		42,882		47,410		50,603		59,983		68,870		74,069		79,649		83,249		79,537
Cold Spring Harbor Laboratory	ne		ne		ne		ne		ne		ne		89,913		84,072		78,236		76,733
Brandeis U.	56,435		59,250		58,925		51,686		65,586		71,006		74,889		74,660		76,060		74,992
SUNY, Binghamton U.	25,919		29,966		37,382		62,959		71,912		72,057		72,539		81,000		76,005		71,382
U. Akron	27,897		28,675		27,399		27,415		34,853		52,884		60,352		66,413		69,640		69,528
Michigan Technological U.	41,337		44,200		56,640		60,356		60,395		63,471		70,089		71,989		70,689		68,526
U. Tennessee, Health Science Center	NA		NA		NA		NA		NA		81,904		81,220		77,754		71,902		67,841
U. Maryland, Baltimore County	59,105		68,205		71,201		72,057		81,056		87,156		91,657		74,993		71,819		67,833
U. North Dakota	47,024		56,301		63,298		65,185		71,858		76,560		74,882		80,149		68,942		67,595
U. Louisiana, Lafayette	52,139		55,427		60,203		65,462		75,474		69,412		69,978		65,275		61,887		67,580
U. Tennessee, Knoxville, Institute of Agriculture	NA		NA		NA		NA		NA		59,212		62,786		68,480		67,887		67,171
Old Dominion U.	56,956		65,357		73,549		87,594		96,186		97,176		102,192		104,579		99,138		67,037
Syracuse U.	48,227		53,784		58,342		62,098		79,950		107,024		83,686		85,649		70,967		66,321
